"country","retention_days","total_users","retention_count","retention_percent"
LR,1,30,4,13.33
IS,1,50,19,38.0
LA,7,2123,111,5.23
SO,7,1040,83,7.98
VN,7,68873,2301,3.34
BJ,7,478,57,11.92
FJ,1,446,159,35.65
KY,1,27,6,22.22
DZ,1,213,91,42.72
TW,1,12796,3705,28.95
TM,1,245,94,38.37
EH,1,70,26,37.14
TD,7,100,7,7.0
MZ,1,558,98,17.56
BY,1,4636,1557,33.58
GB,1,19594,5446,27.79
VG,1,26,12,46.15
HR,7,2326,140,6.02
IT,1,36788,11699,31.8
CV,1,140,31,22.14
RS,1,3621,1191,32.89
LU,1,114,33,28.95
HU,7,7308,488,6.68
BW,7,134,4,2.99
MT,7,159,22,13.84
SR,7,232,18,7.76
XX,7,86,11,12.79
VI,7,34,7,20.59
GL,7,85,7,8.24
MN,7,70,5,7.14
BD,1,7078,2157,30.47
SA,1,8916,1947,21.84
MG,1,230,52,22.61
GE,1,3800,1296,34.11
TC,7,32,3,9.38
JE,7,10,2,20.0
OM,1,1567,481,30.7
TJ,1,2005,639,31.87
NE,1,1285,257,20.0
ZA,1,9654,2446,25.34
AF,1,1166,291,24.96
NL,7,2716,214,7.88
AO,7,423,48,11.35
PY,1,4398,1556,35.38
KW,7,1512,109,7.21
AU,7,8558,814,9.51
AR,7,52993,3211,6.06
XX,1,86,21,24.42
RS,7,3621,188,5.19
LU,7,114,12,10.53
CV,7,140,11,7.86
IT,7,36788,3354,9.12
AU,1,8558,2600,30.38
KW,1,1512,336,22.22
MN,1,70,14,20.0
GL,1,85,11,12.94
BM,1,9,3,33.33
VI,1,34,12,35.29
MT,1,159,40,25.16
SR,1,232,62,26.72
BW,1,134,30,22.39
HU,1,7308,2155,29.49
PY,7,4398,252,5.73
XK,7,562,25,4.45
FM,7,184,23,12.5
IN,7,376833,36947,9.8
CL,7,21901,1509,6.89
TJ,7,2005,212,10.57
OM,7,1567,95,6.06
TC,1,32,9,28.12
JE,1,10,4,40.0
EH,7,70,7,10.0
TM,7,245,20,8.16
SA,7,8916,390,4.37
GE,7,3800,230,6.05
MG,7,230,18,7.83
BD,7,7078,533,7.53
FJ,7,446,44,9.87
HR,1,2326,770,33.1
MS,1,1,1,100.0
KM,1,4,2,50.0
AO,1,423,97,22.93
NL,1,2716,638,23.49
TW,7,12796,889,6.95
PM,1,3,1,33.33
VG,7,26,4,15.38
GB,7,19594,1988,10.15
WF,1,8,2,25.0
LA,1,2123,570,26.85
AF,7,1166,133,11.41
NE,7,1285,114,8.87
ZA,7,9654,584,6.05
BY,7,4636,296,6.38
MZ,7,558,23,4.12
IS,7,50,5,10.0
LR,7,30,4,13.33
AI,1,12,1,8.33
PL,1,13985,3809,27.24
VN,1,68873,17897,25.99
BJ,1,478,113,23.64
SO,1,1040,322,30.96
PW,1,1,1,100.0
AR,1,52993,17578,33.17
NC,7,303,26,8.58
PE,7,34523,2530,7.33
TD,1,100,15,15.0
AS,1,82,32,39.02
NP,1,3160,838,26.52
AZ,7,3250,247,7.6
JP,7,34484,5557,16.11
ES,7,15098,1235,8.18
TL,7,26,2,7.69
GY,7,503,67,13.32
GP,1,209,68,32.54
MR,1,21,7,33.33
ST,1,9,2,22.22
VU,1,4,1,25.0
SG,7,1901,180,9.47
YE,7,2353,158,6.71
MA,7,4197,298,7.1
BB,7,152,18,11.84
MH,1,60,19,31.67
SN,1,1746,502,28.75
RO,7,15823,947,5.98
FK,7,1,1,100.0
CY,1,681,198,29.07
RU,7,136122,8037,5.9
CM,7,811,75,9.25
CD,1,360,68,18.89
CW,7,126,15,11.9
WS,7,4,1,25.0
LT,7,1116,65,5.82
CL,1,21901,5662,25.85
IN,1,376833,141759,37.62
XK,1,562,188,33.45
FM,1,184,64,34.78
HT,1,938,280,29.85
SS,1,9,2,22.22
GW,1,21,4,19.05
MU,1,668,170,25.45
SZ,7,71,7,9.86
DZ,7,213,19,8.92
KY,7,27,1,3.7
HN,1,4196,1423,33.91
BL,1,2,1,50.0
SI,1,1581,485,30.68
MO,1,31,3,9.68
GM,1,59,15,25.42
BE,7,3651,240,6.57
GD,7,70,8,11.43
ET,7,581,48,8.26
EG,1,650,182,28.0
JM,7,1970,129,6.55
AG,7,74,15,20.27
KE,7,1389,109,7.85
DO,1,7711,2989,38.76
PK,1,1048,285,27.19
UY,7,1424,99,6.95
AT,1,1739,408,23.46
TL,1,26,9,34.62
ES,1,15098,3935,26.06
JP,1,34484,12702,36.83
TV,1,14,3,21.43
AZ,1,3250,1057,32.52
NP,7,3160,158,5.0
AS,7,82,10,12.2
NC,1,303,100,33.0
PE,1,34523,10667,30.9
PL,7,13985,885,6.33
IR,1,7,1,14.29
RU,1,136122,40799,29.97
LS,1,3,1,33.33
CY,7,681,60,8.81
RO,1,15823,4879,30.83
FK,1,1,1,100.0
LI,1,8,3,37.5
MH,7,60,6,10.0
SN,7,1746,162,9.28
BB,1,152,51,33.55
YE,1,2353,654,27.79
SG,1,1901,530,27.88
MA,1,4197,1235,29.43
MR,7,21,2,9.52
GP,7,209,19,9.09
GY,1,503,143,28.43
MF,1,5,3,60.0
GD,1,70,14,20.0
BE,1,3651,864,23.66
SI,7,1581,119,7.53
GM,7,59,5,8.47
MO,7,31,1,3.23
BL,7,2,1,50.0
HN,7,4196,275,6.55
SZ,1,71,16,22.54
SS,7,9,1,11.11
MU,7,668,65,9.73
GW,7,21,2,9.52
HT,7,938,111,11.83
LT,1,1116,311,27.87
CW,1,126,34,26.98
WS,1,4,1,25.0
CD,7,360,27,7.5
CM,1,811,165,20.35
AT,7,1739,107,6.15
UY,1,1424,434,30.48
DO,7,7711,669,8.68
PK,7,1048,75,7.16
KE,1,1389,351,25.27
AG,1,74,24,32.43
JM,1,1970,555,28.17
EG,7,650,44,6.77
ET,1,581,141,24.27
IM,7,15,3,20.0
CO,7,35617,2529,7.1
CF,1,12,2,16.67
ID,1,99246,30983,31.22
LV,7,718,42,5.85
GU,1,179,60,33.52
MW,1,178,27,15.17
BT,1,187,59,31.55
SX,7,15,2,13.33
SK,1,6142,1960,31.91
MM,1,10714,2966,27.68
BN,1,418,110,26.32
GF,7,227,22,9.69
MD,7,1447,75,5.18
SB,7,51,4,7.84
BG,7,4777,279,5.84
VC,7,115,6,5.22
TZ,1,732,157,21.45
EE,1,349,113,32.38
QA,1,495,146,29.49
JO,7,6268,382,6.09
UA,7,21382,1123,5.25
AE,7,4536,415,9.15
KG,7,1967,115,5.85
KN,1,39,9,23.08
AL,1,1018,339,33.3
NO,1,1180,309,26.19
DM,1,4,2,50.0
PS,1,6283,1885,30.0
DJ,1,248,50,20.16
KI,1,17,4,23.53
NA,7,302,23,7.62
PG,7,348,29,8.33
PT,1,5461,1324,24.24
KZ,7,26930,1779,6.61
TT,7,1633,137,8.39
TN,7,2827,224,7.92
TG,1,248,58,23.39
BZ,7,212,28,13.21
MY,7,14454,884,6.12
SE,7,1826,101,5.53
GA,7,255,17,6.67
BS,1,319,96,30.09
GR,1,7518,2319,30.85
MP,1,7,1,14.29
SV,1,3220,1041,32.33
YT,1,148,40,27.03
HK,1,1152,289,25.09
BI,1,2,2,100.0
GH,1,1330,277,20.83
SL,1,884,198,22.4
CA,1,11253,3246,28.85
LB,1,2363,795,33.64
CH,7,1302,108,8.29
LK,7,930,75,8.06
FI,7,826,64,7.75
CR,7,2206,183,8.3
RW,7,118,16,13.56
BG,1,4777,1355,28.37
VC,1,115,28,24.35
MD,1,1447,388,26.81
GF,1,227,71,31.28
SB,1,51,12,23.53
BN,7,418,43,10.29
SK,7,6142,445,7.25
MM,7,10714,611,5.7
SX,1,15,6,40.0
BT,7,187,9,4.81
MW,7,178,9,5.06
GU,7,179,14,7.82
LV,1,718,177,24.65
ID,7,99246,5250,5.29
CF,7,12,1,8.33
CO,1,35617,11079,31.11
IM,1,15,2,13.33
PS,7,6283,427,6.8
NO,7,1180,77,6.53
AL,7,1018,57,5.6
KN,7,39,4,10.26
NF,1,1,1,100.0
UA,1,21382,6523,30.51
KG,1,1967,557,28.32
AE,1,4536,1217,26.83
JO,1,6268,2053,32.75
EE,7,349,30,8.6
QA,7,495,42,8.48
TZ,7,732,65,8.88
TG,7,248,23,9.27
TN,1,2827,851,30.1
TT,1,1633,574,35.15
AX,1,10,5,50.0
KZ,1,26930,9647,35.82
PT,7,5461,328,6.01
NA,1,302,86,28.48
PG,1,348,85,24.43
KI,7,17,2,11.76
DJ,7,248,22,8.87
RW,1,118,28,23.73
CR,1,2206,677,30.69
FI,1,826,244,29.54
LK,1,930,294,31.61
CH,1,1302,308,23.66
LB,7,2363,215,9.1
CA,7,11253,1141,10.14
GH,7,1330,124,9.32
SL,7,884,93,10.52
BI,7,2,1,50.0
HK,7,1152,104,9.03
SE,1,1826,423,23.17
MC,1,6,1,16.67
GA,1,255,54,21.18
MP,7,7,1,14.29
GR,7,7518,486,6.46
YT,7,148,13,8.78
SV,7,3220,244,7.58
BS,7,319,36,11.29
MY,1,14454,3879,26.84
BZ,1,212,68,32.08
US,7,392266,46338,11.81
AW,7,67,11,16.42
PR,7,2425,249,10.27
UZ,1,8435,2645,31.36
AD,1,39,8,20.51
NG,1,14616,2914,19.94
DE,1,29028,7607,26.21
PA,1,4188,1406,33.57
AM,7,1544,98,6.35
PH,7,49964,2552,5.11
TH,1,37548,11012,29.33
TR,1,61192,20458,33.43
SC,1,143,34,23.78
ME,1,537,174,32.4
GG,1,12,2,16.67
BF,1,1356,332,24.48
GN,7,1835,145,7.9
ML,7,4116,320,7.77
BO,7,8641,482,5.58
SY,1,4,1,25.0
MV,7,193,14,7.25
GT,7,7640,608,7.96
IE,7,2193,197,8.98
CG,7,146,13,8.9
FO,1,13,5,38.46
CN,1,32376,7129,22.02
IL,1,5756,1559,27.08
IQ,1,2408,786,32.64
FR,1,30986,9044,29.19
CZ,7,7344,512,6.97
LY,7,3715,317,8.53
CI,1,2648,520,19.64
RE,7,1561,145,9.29
LC,7,107,4,3.74
BH,7,419,18,4.3
GI,7,13,3,23.08
MK,7,1126,62,5.51
BA,1,1556,508,32.65
VE,1,732,260,35.52
SD,1,556,102,18.35
BR,7,126253,8565,6.78
MQ,7,235,26,11.06
MX,1,137921,40538,29.39
EC,7,8585,579,6.74
NZ,1,2233,622,27.85
ZW,7,661,30,4.54
KR,7,13409,1168,8.71
PF,1,249,72,28.92
UG,1,595,141,23.7
DK,7,649,40,6.16
NI,7,4247,369,8.69
ZM,7,534,58,10.86
KH,7,79,8,10.13
TR,7,61192,3055,4.99
TH,7,37548,1711,4.56
DE,7,29028,2015,6.94
NG,7,14616,1167,7.98
PA,7,4188,312,7.45
AD,7,39,2,5.13
PH,1,49964,14398,28.82
AM,1,1544,484,31.35
UZ,7,8435,613,7.27
PR,1,2425,718,29.61
US,1,392266,121083,30.87
AW,1,67,15,22.39
IL,7,5756,425,7.38
CN,7,32376,704,2.17
FO,7,13,1,7.69
CG,1,146,22,15.07
IE,1,2193,575,26.22
GT,1,7640,2289,29.96
MV,1,193,55,28.5
BO,1,8641,2668,30.88
ML,1,4116,841,20.43
GN,1,1835,327,17.82
BF,7,1356,124,9.14
SC,7,143,6,4.2
GG,7,12,1,8.33
ME,7,537,36,6.7
MX,7,137921,9560,6.93
MQ,1,235,70,29.79
BR,1,126253,35878,28.42
SD,7,556,46,8.27
BA,7,1556,106,6.81
VE,7,732,56,7.65
SM,1,18,7,38.89
MK,1,1126,357,31.71
GI,1,13,3,23.08
BH,1,419,124,29.59
RE,1,1561,504,32.29
LC,1,107,30,28.04
CI,7,2648,228,8.61
LY,1,3715,1015,27.32
CZ,1,7344,2226,30.31
FR,7,30986,2384,7.69
IQ,7,2408,110,4.57
KH,1,79,18,22.78
NI,1,4247,1505,35.44
DK,1,649,181,27.89
ZM,1,534,133,24.91
UG,7,595,69,11.6
PF,7,249,30,12.05
KR,1,13409,3689,27.51
ZW,1,661,120,18.15
NZ,7,2233,176,7.88
EC,1,8585,2433,28.34
