"country","level","failed_count","started_first_level_count"
AD,1,4,19
AE,1,579,3008
AF,1,109,568
AG,1,6,47
AI,1,1,9
AL,1,134,788
AM,1,189,1287
AO,1,28,213
AR,1,5896,44168
AS,1,4,51
AT,1,239,1269
AU,1,758,5719
AW,1,1,33
AX,1,1,6
AZ,1,419,2530
BA,1,181,1171
BB,1,7,95
BD,1,950,4853
BE,1,499,2644
BF,1,96,625
BG,1,633,3556
BH,1,45,289
BJ,1,29,175
BN,1,32,221
BO,1,1063,6857
BR,1,15889,95114
BS,1,23,186
BT,1,19,126
BW,1,13,79
BY,1,450,3559
BZ,1,13,127
CA,1,1139,7810
CD,1,23,169
CF,1,3,6
CG,1,7,72
CH,1,194,976
CI,1,163,1130
CL,1,2681,14745
CM,1,43,315
CN,1,4980,28759
CO,1,3751,26952
CR,1,203,1379
CV,1,11,77
CW,1,5,63
CY,1,56,423
CZ,1,723,5197
DE,1,4352,22173
DJ,1,18,129
DK,1,71,449
DO,1,864,5563
DZ,1,22,153
EC,1,938,6113
EE,1,33,191
EG,1,62,418
EH,1,8,52
ES,1,1698,10153
ET,1,67,387
FI,1,112,586
FJ,1,15,274
FM,1,14,111
FO,1,1,7
FR,1,3632,23775
GA,1,18,132
GB,1,1729,12524
GD,1,1,39
GE,1,464,3213
GF,1,19,129
GH,1,76,607
GL,1,7,48
GM,1,4,40
GN,1,166,1062
GP,1,13,107
GR,1,913,5471
GT,1,718,5019
GU,1,10,106
GW,1,2,10
GY,1,34,265
HK,1,158,808
HN,1,422,3214
HR,1,239,1770
HT,1,51,437
HU,1,1027,5652
ID,1,14788,81509
IE,1,214,1412
IL,1,741,4157
IM,1,1,7
IN,1,40651,277066
IQ,1,467,2158
IS,1,3,29
IT,1,3739,24906
JM,1,217,1436
JO,1,916,4945
JP,1,3365,25371
KE,1,128,914
KG,1,188,1514
KH,1,13,59
KN,1,1,23
KR,1,1761,10538
KW,1,231,1050
KY,1,1,15
KZ,1,3161,23240
LA,1,169,1444
LB,1,277,1517
LC,1,7,57
LI,1,2,5
LK,1,73,558
LR,1,2,16
LS,1,1,1
LT,1,108,734
LU,1,13,67
LV,1,64,479
LY,1,440,2402
MA,1,483,2991
MC,1,2,3
MD,1,155,1187
ME,1,55,359
MF,1,1,4
MG,1,17,126
MH,1,4,24
MK,1,153,824
ML,1,332,2346
MM,1,1133,7601
MN,1,10,65
MO,1,6,20
MP,1,1,3
MQ,1,14,128
MR,1,3,11
MT,1,14,68
MU,1,62,359
MV,1,23,112
MW,1,9,71
MX,1,16302,106854
MY,1,1903,10028
MZ,1,37,240
NA,1,15,130
NC,1,14,157
NE,1,110,678
NG,1,788,6751
NI,1,468,3073
NL,1,371,1824
NO,1,140,842
NP,1,370,2452
NZ,1,188,1534
OM,1,232,1292
PA,1,389,3023
PE,1,4175,25051
PF,1,5,125
PG,1,17,173
PH,1,6789,39139
PK,1,118,680
PL,1,1534,9765
PR,1,186,1489
PS,1,981,4959
PT,1,635,3855
PY,1,593,3869
QA,1,48,299
RE,1,138,1137
RO,1,2108,12533
RS,1,419,2833
RU,1,16230,111665
RW,1,5,47
SA,1,1435,6106
SB,1,1,29
SC,1,7,61
SD,1,39,280
SE,1,253,1269
SG,1,182,1199
SI,1,126,1123
SK,1,650,4645
SL,1,35,355
SM,1,1,9
SN,1,144,1056
SO,1,131,722
SR,1,21,135
SV,1,323,2305
SX,1,4,10
SZ,1,8,40
TC,1,2,21
TD,1,12,59
TG,1,18,138
TH,1,6041,31714
TJ,1,191,1176
TL,1,3,17
TM,1,28,174
TN,1,291,2012
TR,1,10329,56209
TT,1,193,1208
TV,1,2,7
TW,1,1912,10569
TZ,1,24,262
UA,1,2437,17337
UG,1,41,258
US,1,37062,280010
UY,1,144,1040
UZ,1,767,6300
VC,1,18,80
VE,1,50,464
VG,1,1,14
VI,1,2,21
VN,1,9666,60310
WF,1,1,3
XK,1,80,446
XX,1,6,53
YE,1,242,1316
YT,1,6,84
ZA,1,1046,6588
ZM,1,27,215
ZW,1,35,304
